,AVG_Energy_Lost,TTL_Energy_Lost,Outage_Reason,Participant_Code,Facility_Code,Year
0,149.0,4320.86,Forced,COLLGAR,COLLGAR_WF1,2016
1,141.21,5648.44,Forced,PMC,PMC_AG,2017
2,131.78,9093.09,Forced,PMC,PMC_AG,2016
3,87.71,13771.07,Forced,MELK,MELK_G7,2016
4,85.14,19326.56,Forced,GW,BW1_GREENWATERS_G2,2017
5,80.0,160.0,Forced,TSLA_MGT,TESLA_PICTON_G1,2016
6,76.23,4040.32,Forced,KORL,KORL_GT3,2016
7,72.61,5881.52,Forced,PJRH,PJRH_GT11,2016
8,67.21,4839.28,Forced,PJRH,PJRH_GT11,2017
9,61.93,2787.06,Forced,COLLGAR,COLLGAR_WF1,2017
10,61.57,4679.68,Forced,KORL,KORL_GT3,2017
11,58.11,10285.4,Forced,MELK,MELK_G7,2017
12,56.32,1182.8,Forced,ENRG,ENRG_KALGOORLIE_GT3,2016
13,55.0,55.0,Forced,MCG,MWF_MUMBIDA_WF1,2016
14,51.42,10696.28,Forced,AURICON,AURICON_PNJ_U1,2016
15,49.69,15751.38,Forced,GW,BW1_GREENWATERS_G2,2016
16,46.94,563.33,Forced,MCG,MWF_MUMBIDA_WF1,2017
17,44.16,21639.55,Forced,AURICON,AURICON_PNJ_U1,2017
18,42.48,169.9,Forced,TSLA_MGT,TESLA_PICTON_G1,2017
19,36.8,147.2,Forced,MUND,MUNDARING_GT1,2016
20,33.98,815.47,Forced,PUG,PERTHENERGY_KORL_GT1,2016
21,30.46,4112.1,Forced,PUG,PERTHENERGY_KORL_GT1,2017
22,29.17,5016.67,Forced,TRMOS,TIWEST_COG1,2017
23,27.66,221.29,Forced,WGUTD,WEST_KALGOORLIE_GT2,2017
24,27.41,191.86,Forced,ENRG,ENRG_KALGOORLIE_GT3,2017
25,27.0,54.0,Forced,WGUTD,WEST_KALGOORLIE_GT2,2016
26,26.57,398.58,Forced,MUND,MUNDARING_GT1,2017
27,23.0,299.0,Forced,STHRNCRS,STHRNCRS_EG,2016
28,21.6,64.8,Forced,EUCT,GRASMERE_WF1,2017
29,18.96,1232.43,Forced,TRMOS,TIWEST_COG1,2016
30,16.26,292.7,Forced,STHRNCRS,STHRNCRS_EG,2017
31,14.74,1768.76,Forced,AUXC,AUXC_WGP,2017
32,13.27,2734.14,Forced,AUXC,AUXC_WGP,2016
33,5.89,64.8,Forced,EUCT,GRASMERE_WF1,2016
34,1.44,1.44,Forced,DNHR,DNHR_DENMARK_WF1,2016
35,1.44,1.44,Forced,DNHR,DNHR_DENMARK_WF1,2017
